,All-CAUSES,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch20,Other,label,labels1
Australia,143946,1969,42423,504,5887,6377,5983,11,2,48673,11275,4970,399,1171,3333,6,596,614,853,8900,0,2,1
Belgium,103760,2293,28114,362,2741,3797,4474,0,3,33141,11416,4711,282,460,2150,7,243,255,2666,6644,1,2,1
Bermuda,420,17,109,4,25,0,18,0,0,134,35,13,2,4,9,0,5,4,14,27,0,2,1
Canada,238617,4704,71948,970,10053,11527,12003,6,9,69945,20728,9769,348,1526,5289,34,1107,893,2311,15447,0,2,1
Chile,86783,1644,21826,331,3978,2586,2722,0,0,23912,8057,6445,269,462,2475,36,868,814,2397,7961,0,2,1
Cyprus,5194,68,1139,30,393,64,146,0,0,2015,356,150,29,31,149,1,19,10,280,314,0,2,1
Denmark,54265,725,15517,266,1743,3061,1624,2,3,15031,5622,2744,70,375,780,4,116,146,3998,2438,0,2,1
Finland,49090,437,11214,50,667,2369,4081,0,1,20281,1980,2460,36,265,402,5,74,175,316,4277,0,2,1
France,532474,10638,158261,2186,19462,17390,30543,9,22,146663,32676,23544,1610,3683,9018,52,1407,1431,36841,37038,0,2,1
Guadeloupe,2794,75,648,22,180,69,150,0,0,763,130,124,16,12,59,2,25,10,265,244,0,2,1
Hong Kong SAR,41530,1132,12739,112,667,504,314,1,1,11333,8141,1581,255,124,2030,2,53,78,696,1766,1,2,1
Iceland,1987,21,569,2,35,62,158,0,0,706,184,58,0,8,36,0,8,4,11,125,0,2,1
Ireland,28274,219,8389,77,649,416,930,1,0,9956,3522,1129,52,227,567,3,129,194,93,1721,0,2,1
Israel,39241,1531,10266,311,3151,970,1160,4,1,10258,3200,1249,477,250,1925,8,258,270,1916,2036,0,2,1
Italy,581470,8393,172783,2607,24999,13915,21445,29,28,225588,37771,23578,807,3656,9612,13,1149,1349,9423,24325,0,2,1
Japan,1142407,24904,352953,4059,21102,6584,16607,10,34,334971,175976,43802,1163,5219,30495,41,757,2186,48021,73523,0,2,1
Luxembourg,3434,103,954,5,76,64,127,0,0,1307,272,161,4,11,39,1,3,2,95,210,0,2,1
Malta,3243,15,855,5,160,111,97,0,0,1273,298,118,36,14,61,1,15,19,29,136,0,2,1
Martinique,2789,83,741,19,183,51,130,0,1,775,143,90,16,17,38,1,19,20,274,188,0,2,1
Netherlands,135136,2013,41874,441,4079,7152,4165,3,9,40129,13789,5401,373,797,3319,8,376,441,5341,5426,0,2,1
New Zealand,29312,222,8613,54,1177,890,1129,0,2,10533,2624,859,83,236,523,7,141,182,118,1919,0,2,1
Norway,41716,914,10886,114,1005,1749,1507,0,2,14135,4118,1286,80,259,913,3,92,133,2065,2455,0,2,1
Puerto Rico,28871,1478,5175,340,3463,445,2007,1,3,7544,2759,1328,153,147,1304,6,217,112,149,2240,0,2,1
Republic of Korea,246113,5603,69854,483,11053,5449,5458,1,4,55460,16018,10769,417,1666,4325,39,804,526,27709,30475,0,2,1
Reunion,4118,79,1004,22,313,152,169,0,1,1115,266,226,11,25,87,2,72,27,212,335,0,2,1
Saint Pierre and Miquelon,51,0,12,1,4,3,4,0,0,9,6,2,0,0,1,0,0,2,2,5,0,2,1
Spain,386324,7708,104054,1342,12337,13040,17489,2,5,122793,44200,19476,1211,3404,10579,24,944,924,11503,15289,0,2,1
Sweden,91542,1696,22555,336,2496,4961,3199,0,6,37466,5848,3095,153,474,1193,6,116,195,2937,4810,0,2,1
Switzerland,61233,677,16435,163,1852,3446,2996,3,1,22321,3641,2422,79,460,827,8,165,215,1780,3742,0,2,1
United Kingdom,579697,7607,160730,1079,8695,22154,19749,11,29,190856,81322,29808,2078,4835,13567,49,2060,1902,11776,21390,0,2,1
United States of America,2471984,68432,579939,9873,99326,104617,136607,51,80,808525,245099,91097,3983,13871,63130,795,13933,10288,38522,183816,0,2,1
Uruguay,31068,666,7700,135,938,658,1280,0,1,9502,2866,1233,148,185,761,6,191,174,2572,2035,17,2,1
